,entity,CIK,Full_CIK,ticker
0,QUARTZ MOUNTAIN RESOURCES LTD.,811522,CIK0000811522,QZMRF
1,"AWARE, INC.",1015739,CIK0001015739,AWRE
2,DLocal Limited,0001846832,CIK0001846832,DLO
3,SARCOS TECHNOLOGY AND ROBOTICS CORPORATION,1826681,CIK0001826681,STRCW
4,10X CAPITAL VENTURE ACQUISITION CORP. III,0001848948,CIK0001848948,VCXB
5,"Otonomy, Inc.",1493566,CIK0001493566,OTIC
6,"NOBILITY HOMES, INC.",72205,CIK0000072205,NOBH
7,"ChemoCentryx, Inc.",1340652,CIK0001340652,CCXI
8,"GoLogiq, Inc.",1746278,CIK0001746278,GOLQ
9,BYTE ACQUISITION CORP.,1842566,CIK0001842566,BYTSU
10,"American Oncology Network, Inc.",1839998,CIK0001839998,DTOCW
11,ROTH CH ACQUISITION CO.,1860514,CIK0001860514,USCTW
12,CEMENTOS PACASMAYO SAA,1221029,CIK0001221029,CPAC
13,"CommScope Holding Company, Inc.",1517228,CIK0001517228,COMM
14,"Global AI, Inc.",1473490,CIK0001473490,WSCO
15,SIGNET JEWELERS LIMITED,832988,CIK0000832988,SIG
16,"NexPoint Residential Trust, Inc.",1620393,CIK0001620393,NXRT
17,TERNIUM S.A.,1342874,CIK0001342874,TX
18,"PROVENTION BIO, INC.",1695357,CIK0001695357,PRVB
19,DAQO NEW ENERGY CORP.,1477641,CIK0001477641,DQ
20,Colliers International Group Inc.,913353,CIK0000913353,CIGI
21,UWHARRIE CAPITAL CORP,898171,CIK0000898171,UWHR
22,CORPORACION AMERICA AIRPORTS S.A.,1717393,CIK0001717393,CAAP
23,"Signify Health, Inc.",1828182,CIK0001828182,SGFY
24,"SMARTRENT, INC.",1837014,CIK0001837014,SMRT
25,WILLSCOT MOBILE MINI HOLDINGS CORP.,1647088,CIK0001647088,WSC
26,"Envestnet, Inc.",1337619,CIK0001337619,ENV
27,NATURAL RESOURCE PARTNERS LP,1171486,CIK0001171486,NRP
28,"GEVO, INC.",1392380,CIK0001392380,GEVO
29,CAMBRIDGE BANCORP,711772,CIK0000711772,CATC
30,"NOVATION COMPANIES, INC.",1025953,CIK0001025953,NOVC
31,LIGHTBRIDGE CORPORATION,1084554,CIK0001084554,LTBR
32,PPL Corporation,922224,CIK0000922224,PPL
33,"LUBOA GROUP, INC.",1586452,CIK0001586452,LBAO
34,,0000883618,CIK0000883618,NXP
35,Telesat Corp,0001845840,CIK0001845840,TSAT
36,STANTEC INC.,1131383,CIK0001131383,STN
37,"Photozou Holdings, Inc.",1627469,CIK0001627469,PTZH
38,"HTG Molecular Diagnostics, Inc",1169987,CIK0001169987,HTGM
39,"FACT, INC",1714379,CIK0001714379,FCTI
40,HERSHA HOSPITALITY TRUST,1063344,CIK0001063344,HT
41,SNDL Inc.,1766600,CIK0001766600,SNDL
42,"STRAN & COMPANY, INC.",1872525,CIK0001872525,STRNW
43,"Cricut, Inc.",1828962,CIK0001828962,CRCT
44,"NRG Energy, Inc",1013871,CIK0001013871,NRG
45,"FIBROGEN, INC.",921299,CIK0000921299,FGEN
46,Science Strategic Acquisition Corp. Alpha,1830547,CIK0001830547,SSAAW
47,"ASENSUS SURGICAL, INC.",876378,CIK0000876378,ASXC
48,Starcore International Mines Ltd.,1301713,CIK0001301713,SHVLF
49,MingZhu Logistics Holdings Ltd,1782037,CIK0001782037,YGMZ
50,CAMDEN NATIONAL CORP,750686,CIK0000750686,CAC
51,Mastercard Incorporated,1141391,CIK0001141391,MA
52,"GREENHILL & CO., INC.",1282977,CIK0001282977,GHL
53,"Old Ayala, Inc.",1797336,CIK0001797336,AYLA
54,"CODORUS VALLEY BANCORP, INC.",806279,CIK0000806279,CVLY
55,OPORTUN FINANCIAL CORPORATION,1538716,CIK0001538716,OPRT
56,BRIGHTSPHEREInvestment Group Inc.,1748824,CIK0001748824,BSIG
57,FLEXIBLE SOLUTIONS INTERNATIONAL INC.,1069394,CIK0001069394,FSI
58,4Front Ventures Corp.,1783875,CIK0001783875,FFNTF
59,"SEELOS THERAPEUTICS, INC.",1017491,CIK0001017491,SEEL
60,"Apexigen, Inc.",1814140,CIK0001814140,APGNW
61,"IR-Med, Inc.",1839133,CIK0001839133,IRME
62,"NETWORK-1 TECHNOLOGIES, INC.",1065078,CIK0001065078,NTIP
63,Jackson Acquisition Company,0001852495,CIK0001852495,RJAC
64,"Frontier Group Holdings, Inc.",1670076,CIK0001670076,ULCC
65,"PROMETHEUS BIOSCIENCES, INC.",1718852,CIK0001718852,RXDX
66,Mars Acquisition Corp.,0001892922,CIK0001892922,MARX
67,"NEWBRIDGE GLOBAL VENTURES, INC.",726293,CIK0000726293,NBGV
68,"CareTrust REIT, Inc.",1590717,CIK0001590717,CTRE
69,PolyPid Ltd.,1611842,CIK0001611842,PYPD
70,"GameSquare Holdings, Inc.",0001714562,CIK0001714562,GAME
71,"PureCycle Technologies, Inc.",1830033,CIK0001830033,PCTTW
72,"PAYCOR HCM, INC.",1839439,CIK0001839439,PYCR
73,BROOKFIELD CORPORATION,1001085,CIK0001001085,BAMI
74,IBEX LIMITED,1720420,CIK0001720420,IBEX
75,"HOME FEDERAL BANCORP, INC. OF LOUISIANA",1500375,CIK0001500375,HFBL
76,ORGANIC AGRICULTURAL COMPANY LIMITED,1749849,CIK0001749849,OGAA
77,Yiren Digital Ltd.,1631761,CIK0001631761,YRD
78,Rio Tinto plc,863064,CIK0000863064,RTPPF
79,"CXJ GROUP CO., Limited",1823635,CIK0001823635,ECXJ
80,Clever Leaves Holdings Inc.,1819615,CIK0001819615,CLVRW
81,,0001768126,CIK0001768126,ARHYS
82,"CAMPING WORLD HOLDINGS, INC.",1669779,CIK0001669779,CWH
83,"NETGEAR, Inc.",1122904,CIK0001122904,NTGR
84,Capitalworks Emerging Markets Acquisition Corp,0001865248,CIK0001865248,CMCAU
85,Very Good Food Company Inc.,0001878835,CIK0001878835,VGFC
86,"Tempest Therapeutics, Inc.",1544227,CIK0001544227,TPST
87,"THRYV HOLDINGS, INC.",1556739,CIK0001556739,THRY
88,"Viomi Technology Co., Ltd",1742770,CIK0001742770,VIOT
89,Glass House Brands Inc.,0001848731,CIK0001848731,GHBWF
90,BIOSTAX CORP,1559356,CIK0001559356,IMUN
91,"CONFLUENT, INC.",1699838,CIK0001699838,CFLT
92,INVENTRUST PROPERTIES CORP.,1307748,CIK0001307748,IVT
93,TRX GOLD Corporation,1173643,CIK0001173643,TRX
94,"Y-mAbs Therapeutics, Inc.",1722964,CIK0001722964,YMAB
95,"Oscar Health, Inc.",1568651,CIK0001568651,OSCR
96,"POLAR POWER, INC.",1622345,CIK0001622345,POLA
97,"Terra Income Fund 6, LLC",0001577134,CIK0001577134,TFSA
98,SATIXFY COMMUNICATIONS LTD.,0001915403,CIK0001915403,SATX
99,Tradeweb Markets Inc.,1758730,CIK0001758730,TW
100,,0000883265,CIK0000883265,VTN
101,"BORROWMONEY.COM, INC.",1656501,CIK0001656501,BWMY
102,RPT Realty,842183,CIK0000842183,RPT
103,LIVENT CORPORATION,1742924,CIK0001742924,LTHM
104,"ONE WORLD PRODUCTS, INC.",1622244,CIK0001622244,OWPC
105,STEPAN COMPANY,94049,CIK0000094049,SCL
106,"iTeos Therapeutics, Inc.",1808865,CIK0001808865,ITOS
107,"AMERICOLD REALTY TRUST, INC.",1455863,CIK0001455863,COLD
108,Great Elm Capital Corp.,0001675033,CIK0001675033,GECCO
109,Far Peak Acquisition Corporation,1829426,CIK0001829426,FPAC
110,THE EASTERN COMPANY,31107,CIK0000031107,EML
111,SVF INVESTMENT CORP. 2,1837238,CIK0001837238,SVFB
112,"TFF PHARMACEUTICALS, INC.",1733413,CIK0001733413,TFFP
113,QUALSTAR CORP,758938,CIK0000758938,QBAK
114,"ORGANICELL REGENERATIVE MEDICINE, INC",1557376,CIK0001557376,OCEL
115,Marin Software Incorporated,1389002,CIK0001389002,MRIN
116,Intelligent Bio Solutions Inc.,1725430,CIK0001725430,GBS
