,industry,industry_Disp,indistry_map_dic,sector,sectorKey,sectorDisp
MSFT,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
BRK-B,Insurance - Diversified,Insurance - Diversified,insurance-diversified,Financial Services,financial-services,Financial Services
UNH,Healthcare Plans,Healthcare Plans,healthcare-plans,Healthcare,healthcare,Healthcare
JNJ,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
V,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
TSM,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
XOM,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
WMT,Discount Stores,Discount Stores,discount-stores,Consumer Defensive,consumer-defensive,Consumer Defensive
JPM,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
PG,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
NVDA,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
LVMUY,Luxury Goods,Luxury Goods,luxury-goods,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MA,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
CVX,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
TSLA,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
LLY,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
HD,Home Improvement Retail,Home Improvement Retail,home-improvement-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
BAC,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
PFE,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
KO,Beverages - Non-Alcoholic,Beverages - Non - Alcoholic,beverages-non-alcoholic,Consumer Defensive,consumer-defensive,Consumer Defensive
ABBV,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
BABA,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
NVO,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
PEP,Beverages - Non-Alcoholic,Beverages - Non - Alcoholic,beverages-non-alcoholic,Consumer Defensive,consumer-defensive,Consumer Defensive
COST,Discount Stores,Discount Stores,discount-stores,Consumer Defensive,consumer-defensive,Consumer Defensive
MRK,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
TMO,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
AVGO,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
DHR,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
DIS,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
TM,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MCD,Restaurants,Restaurants,restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ASML,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
ORCL,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
ABT,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
CSCO,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
NVS,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
AZN,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
TMUS,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
WFC,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
ACN,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
VZ,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
NEE,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
NKE,Footwear & Accessories,Footwear & Accessories,footwear-accessories,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
UPS,Integrated Freight & Logistics,Integrated Freight & Logistics,integrated-freight-logistics,Industrials,industrials,Industrials
BMY,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
MS,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
CMCSA,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
CRM,Software - Application,Software - Application,software-application,Technology,technology,Technology
COP,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
TXN,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
ADBE,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
PM,Tobacco,Tobacco,tobacco,Consumer Defensive,consumer-defensive,Consumer Defensive
LIN,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
UNP,Railroads,Railroads,railroads,Industrials,industrials,Industrials
QCOM,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
RY,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
SCHW,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
CVS,Healthcare Plans,Healthcare Plans,healthcare-plans,Healthcare,healthcare,Healthcare
BHP,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining,Basic Materials,basic-materials,Basic Materials
TTE,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
LOW,Home Improvement Retail,Home Improvement Retail,home-improvement-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
AMGN,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
RTX,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
ASTI,Solar,Solar,solar,Technology,technology,Technology
HSBC,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
HDB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
MDT,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
HON,Conglomerates,Conglomerates,conglomerates,Industrials,industrials,Industrials
TD,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
AXP,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
T,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
INTU,Software - Application,Software - Application,software-application,Technology,technology,Technology
INTC,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
EQNR,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
UL,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
LMT,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
PYPL,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
IBM,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
AMT,REIT - Specialty,REIT - Specialty,reit-specialty,Real Estate,real-estate,Real Estate
GS,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
DE,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
SBUX,Restaurants,Restaurants,restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
NFLX,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
BP,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
SNY,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
DEO,Beverages - Wineries & Distilleries,Beverages - Wineries & Distilleries,beverages-wineries-distilleries,Consumer Defensive,consumer-defensive,Consumer Defensive
SAP,Software - Application,Software - Application,software-application,Technology,technology,Technology
CAT,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
ADP,Staffing & Employment Services,Staffing & Employment Services,staffing-employment-services,Industrials,industrials,Industrials
RTNTF,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining,Basic Materials,basic-materials,Basic Materials
C,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
CI,Healthcare Plans,Healthcare Plans,healthcare-plans,Healthcare,healthcare,Healthcare
BLK,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
JD,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
AMD,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
CSLLY,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
BTI,Tobacco,Tobacco,tobacco,Consumer Defensive,consumer-defensive,Consumer Defensive
SONY,Consumer Electronics,Consumer Electronics,consumer-electronics,Technology,technology,Technology
RIO,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining,Basic Materials,basic-materials,Basic Materials
EL,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
BA,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
NOW,Software - Application,Software - Application,software-application,Technology,technology,Technology
PBR,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
PLD,REIT - Industrial,REIT - Industrial,reit-industrial,Real Estate,real-estate,Real Estate
BUD,Beverages - Brewers,Beverages - Brewers,beverages-brewers,Consumer Defensive,consumer-defensive,Consumer Defensive
PDD,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SYK,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
ENB,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
CNI,Railroads,Railroads,railroads,Industrials,industrials,Industrials
SPGI,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,financial-data-stock-exchanges,Financial Services,financial-services,Financial Services
MDLZ,Confectioners,Confectioners,confectioners,Consumer Defensive,consumer-defensive,Consumer Defensive
CB,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
SO,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
DUK,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
GILD,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
IBN,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
BKNG,Travel Services,Travel Services,travel-services,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ABNB,Travel Services,Travel Services,travel-services,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MMC,Insurance Brokers,Insurance Brokers,insurance-brokers,Financial Services,financial-services,Financial Services
TGT,Discount Stores,Discount Stores,discount-stores,Consumer Defensive,consumer-defensive,Consumer Defensive
AMAT,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
GSK,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
ADI,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
TJX,Apparel Retail,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MO,Tobacco,Tobacco,tobacco,Consumer Defensive,consumer-defensive,Consumer Defensive
BAM,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
NOC,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
REGN,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
INFY,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
